"full_branch","superkingdom","kingdom","phylum","class","order","family"
"cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Noctilucales;Noctilucaceae","Eukaryota","na","na","Dinophyceae","Noctilucales","Noctilucaceae"
"cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Peridiniales;Peridiniaceae","Eukaryota","na","na","Dinophyceae","Peridiniales","Peridiniaceae"
"cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Peridiniales;Heterocapsaceae","Eukaryota","na","na","Dinophyceae","Peridiniales","Heterocapsaceae"
"cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Gymnodiniaceae","Eukaryota","na","na","Dinophyceae","Gymnodiniales","Gymnodiniaceae"
"cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gonyaulacales;Ceratocoryaceae","Eukaryota","na","na","Dinophyceae","Gonyaulacales","Ceratocoryaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Rhabditophora;Rhabdocoela;Dalyellioida;Provorticidae","Eukaryota","Metazoa","Platyhelminthes","Rhabditophora","Rhabdocoela","Provorticidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Rhabditophora;Rhabdocoela;Kalyptorhynchia;Schizorhynchia;Diascorhynchidae","Eukaryota","Metazoa","Platyhelminthes","Rhabditophora","Rhabdocoela","Diascorhynchidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Passeriformes;Certhiidae","Eukaryota","Metazoa","Chordata","Aves","Passeriformes","Certhiidae"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Zygophyllales;Krameriaceae","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Zygophyllales","Krameriaceae"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Malvales;Sphaerosepalaceae","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Sphaerosepalaceae"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Malvales;Cochlospermaceae","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Cochlospermaceae"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Malvales;Bixaceae","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Bixaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Chaetothyriomycetidae;Chaetothyriales;Chaetothyriaceae","Eukaryota","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Brachypylina;Gustavioidea;Liacaridae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Liacaridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Mixonomata;Phthiracaroidea;Phthiracaridae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Phthiracaridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomata;Crotonioidea;Nothridae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Nothridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Mixonomata;Nehypochthonoidea;Nehypochthoniidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Nehypochthoniidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomata;Nanhermannoidea;Nanhermanniidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Nanhermanniidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Mixonomata;Lohmannioidea;Lohmanniidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Lohmanniidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Brachypylina;Liodoidea;Liodidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Liodidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Eupodina;Labidostommatoidea;Labidostommatidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Trombidiformes","Labidostommatidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Enarthronota;Hypochthonoidea;Hypochthoniidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Hypochthoniidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Astigmata;Histiostomatoidea;Histiostomatidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Histiostomatidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Parhyposomata;Parhypochthonioidea;Gehypochthoniidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Gehypochthoniidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Brachypylina;Ceratozetoidea;Euzetidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Euzetidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Mixonomata;Collohmannioidea;Collohmanniidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Collohmanniidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Astigmata;Glycyphagoidea;Chortoglyphidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Chortoglyphidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomata;Trhypochthonioidea;Trhypochthoniidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Trhypochthoniidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Endeostigmata;Bimichaeloidea;Alicorhagiidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Alicorhagiidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Staphyliniformia;Staphylinoidea;Leiodidae","Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Leiodidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Staphyliniformia;Staphylinoidea;Agyrtidae","Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Agyrtidae"
"cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Leptomyxida;Leptomyxidae","Eukaryota","na","Tubulinea","Elardia","Leptomyxida","Leptomyxidae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Phacidiales;Phacidiaceae","Eukaryota","Fungi","Ascomycota","Leotiomycetes","Phacidiales","Phacidiaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetes incertae sedis;Meliolales;Meliolaceae","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Meliolales","Meliolaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetes incertae sedis;Meliolinaceae","Eukaryota","Fungi","Ascomycota","Dothideomycetes","na","Meliolinaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Psocodea;Phthiraptera;Ischnocera;Philopteridae","Eukaryota","Metazoa","Arthropoda","Insecta","Phthiraptera","Philopteridae"
"cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;PX clade;Phaeophyceae;Ectocarpales;Chordariaceae","Eukaryota","na","na","Phaeophyceae","Ectocarpales","Chordariaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Scinciformata;Scincidae","Eukaryota","Metazoa","Chordata","Lepidosauria","Squamata","Scincidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Auchenorrhyncha;Fulgoromorpha;Fulgoroidea;Tropiduchidae","Eukaryota","Metazoa","Arthropoda","Insecta","Hemiptera","Tropiduchidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Auchenorrhyncha;Fulgoromorpha;Fulgoroidea;Tettigometridae","Eukaryota","Metazoa","Arthropoda","Insecta","Hemiptera","Tettigometridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Parasitiformes;Holothyrida;Holothyroidea;Allothyridae","Eukaryota","Metazoa","Arthropoda","Arachnida","Holothyrida","Allothyridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Metatheria;Diprotodontia;Potoroidae","Eukaryota","Metazoa","Chordata","Mammalia","Diprotodontia","Potoroidae"
"cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Polycystinea;Collodaria;Collosphaeridae","Eukaryota","na","na","Polycystinea","Collodaria","Collosphaeridae"
"cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Polycystinea;Collodaria;Sphaerozoidae","Eukaryota","na","na","Polycystinea","Collodaria","Sphaerozoidae"
"cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Polycystinea;Collodaria;Thalassicollidae","Eukaryota","na","na","Polycystinea","Collodaria","Thalassicollidae"
"cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Acantharea;Symphyacanthida;Pseudolithiidae","Eukaryota","na","na","Acantharea","Symphyacanthida","Pseudolithiidae"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Bryophyta;Bryophytina;Bryopsida;Dicranidae;Grimmiales;Grimmiaceae","Eukaryota","Viridiplantae","Streptophyta","Bryopsida","Grimmiales","Grimmiaceae"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Bryophyta;Bryophytina;Bryopsida;Bryidae;Hypnanae;Hypnales;Leucodontaceae","Eukaryota","Viridiplantae","Streptophyta","Bryopsida","Hypnales","Leucodontaceae"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Bryophyta;Bryophytina;Bryopsida;Timmiidae;Timmiales;Timmiaceae","Eukaryota","Viridiplantae","Streptophyta","Bryopsida","Timmiales","Timmiaceae"
