"full_branch","superkingdom","kingdom","phylum","class","order","family"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Valsonectriaceae","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Valsonectriaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Pseudoniessliaceae","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Pseudoniessliaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Chrysonectriaceae","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Chrysonectriaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Neoacremoniaceae","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Neoacremoniaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nothoacremoniaceae","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nothoacremoniaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Phalangida;Laniatores;Insidiatores;Travunioidea;Cryptomastridae","Eukaryota","Metazoa","Arthropoda","Arachnida","Opiliones","Cryptomastridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Acropomatiformes;Malakichthyidae","Eukaryota","Metazoa","Chordata","Actinopteri","Acropomatiformes","Malakichthyidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Catenulida;Retronectidae","Eukaryota","Metazoa","Platyhelminthes","Catenulida","na","Retronectidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Catoptometridae","Eukaryota","Metazoa","Echinodermata","Crinoidea","Comatulida","Catoptometridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Stephanometridae","Eukaryota","Metazoa","Echinodermata","Crinoidea","Comatulida","Stephanometridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Pontiometridae","Eukaryota","Metazoa","Echinodermata","Crinoidea","Comatulida","Pontiometridae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;Pezizomycetes;Pezizales;Strobiloscyphaceae","Eukaryota","Fungi","Ascomycota","Pezizomycetes","Pezizales","Strobiloscyphaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blaberoidea;Nyctiboridae","Eukaryota","Metazoa","Arthropoda","Insecta","Blattodea","Nyctiboridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blaberoidea;Blattellidae","Eukaryota","Metazoa","Arthropoda","Insecta","Blattodea","Blattellidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blaberoidea;Pseudophyllodromiidae","Eukaryota","Metazoa","Arthropoda","Insecta","Blattodea","Pseudophyllodromiidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;lower Heterobranchia;Valvatoidea;Hyalogyrinidae","Eukaryota","Metazoa","Mollusca","Gastropoda","na","Hyalogyrinidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Placozoa;Uniplacotomia;Hoilungea;Hoilungidae","Eukaryota","Metazoa","Placozoa","Uniplacotomia","Hoilungea","Hoilungidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Passeriformes;Passeroidea;Prunellidae","Eukaryota","Metazoa","Chordata","Aves","Passeriformes","Prunellidae"
"cellular organisms;Eukaryota;Discoba;Jakobida;Agogonidae","Eukaryota","na","na","na","Jakobida","Agogonidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Tanaidacea;Tanaidomorpha;Paratanaidoidea;Paranarthrurellidae","Eukaryota","Metazoa","Arthropoda","Malacostraca","Tanaidacea","Paranarthrurellidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Scaphopoda;Dentaliida;Laevidentaliidae","Eukaryota","Metazoa","Mollusca","Scaphopoda","Dentaliida","Laevidentaliidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Scaphopoda;Dentaliida;Calliodentaliidae","Eukaryota","Metazoa","Mollusca","Scaphopoda","Dentaliida","Calliodentaliidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Scaphopoda;Dentaliida;Anulidentaliidae","Eukaryota","Metazoa","Mollusca","Scaphopoda","Dentaliida","Anulidentaliidae"
"cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Litostomatea;Trichostomatia;Entodiniomorphida;Rhinozetidae","Eukaryota","na","Ciliophora","Litostomatea","Entodiniomorphida","Rhinozetidae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Peribolosporomycetes;Peribolosporales;Peribolosporaceae","Eukaryota","Fungi","Basidiomycota","Peribolosporomycetes","Peribolosporales","Peribolosporaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Cestoda;Eucestoda;Rhinebothriidea;Mixobothriidae","Eukaryota","Metazoa","Platyhelminthes","Cestoda","Rhinebothriidea","Mixobothriidae"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Bryophyta;Bryophytina;Bryopsida;Dicranidae;Dicranales;Dicranellopsidaceae","Eukaryota","Viridiplantae","Streptophyta","Bryopsida","Dicranales","Dicranellopsidaceae"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Bryophyta;Bryophytina;Bryopsida;Dicranidae;Dicranales;Rhizogemmaceae","Eukaryota","Viridiplantae","Streptophyta","Bryopsida","Dicranales","Rhizogemmaceae"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Bryophyta;Bryophytina;Bryopsida;Dicranidae;Dicranales;Ruficaulaceae","Eukaryota","Viridiplantae","Streptophyta","Bryopsida","Dicranales","Ruficaulaceae"
"cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Galdieriales;Galdieriaceae","Eukaryota","na","Rhodophyta","Bangiophyceae","Galdieriales","Galdieriaceae"
"cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Cavernulicolales;Cavernulicolaceae","Eukaryota","na","Rhodophyta","Bangiophyceae","Cavernulicolales","Cavernulicolaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Amphipoda;Senticaudata;Talitrida;Talitroidea;Makawidae","Eukaryota","Metazoa","Arthropoda","Malacostraca","Amphipoda","Makawidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Scleralcyonacea;Sarcodictyonidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Scleralcyonacea","Sarcodictyonidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Scleralcyonacea;Pleurogorgiidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Scleralcyonacea","Pleurogorgiidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Scleralcyonacea;Isidoidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Scleralcyonacea","Isidoidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Scleralcyonacea;Ideogorgiidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Scleralcyonacea","Ideogorgiidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Scleralcyonacea;Chelidonisididae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Scleralcyonacea","Chelidonisididae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Skamnariidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Skamnariidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Sinulariidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Sinulariidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Scleracidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Scleracidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Rosgorgiidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Rosgorgiidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Pterogorgiidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Pterogorgiidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Nephthyigorgiidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Nephthyigorgiidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Malacacanthidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Malacacanthidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Incrustatidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Incrustatidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Euplexauridae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Euplexauridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Eunicellidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Eunicellidae"
"cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Foraminifera;Allogromida;Lieberkuehniidae","Eukaryota","na","Foraminifera","na","na","Lieberkuehniidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Discophytidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Discophytidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Cladiellidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Cladiellidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Cerveridae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Cerveridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Carijoidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Carijoidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Capnellidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Capnellidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Astrogorgiidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Astrogorgiidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Anthogorgiidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Malacalcyonacea","Anthogorgiidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Aplacophora;Solenogastres;Solenogastres incertae sedis;Apodomeniidae","Eukaryota","Metazoa","Mollusca","Solenogastres","na","Apodomeniidae"
"cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Peridiniales;Ensiculiferaceae","Eukaryota","na","na","Dinophyceae","Peridiniales","Ensiculiferaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Aplacophora;Solenogastres;Solenogastres incertae sedis;Strophomeniidae","Eukaryota","Metazoa","Mollusca","Solenogastres","na","Strophomeniidae"
"cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Foraminifera;Monothalamids;Velamentofexidae","Eukaryota","na","Foraminifera","na","na","Velamentofexidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Amphianthidae","Eukaryota","Metazoa","Cnidaria","Anthozoa","Actiniaria","Amphianthidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Amphipoda;Senticaudata;Talitrida;Talitroidea;Curiotalitridae","Eukaryota","Metazoa","Arthropoda","Malacostraca","Amphipoda","Curiotalitridae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Amphipoda;Senticaudata;Talitrida;Talitroidea;Protorchestiidae","Eukaryota","Metazoa","Arthropoda","Malacostraca","Amphipoda","Protorchestiidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Aproctoidea;Aproctidae","Eukaryota","Metazoa","Nematoda","Chromadorea","Rhabditida","Aproctidae"
"cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Mediophyceae;Biddulphiophycidae;Ardissoneales;Ardissoneaceae","Eukaryota","na","Bacillariophyta","Mediophyceae","Ardissoneales","Ardissoneaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Coccinelloidea;Cerasommatidiidae","Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Cerasommatidiidae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Glomeromycotina;Glomeromycetes;Entrophosporales;Entrophosporaceae","Eukaryota","Fungi","Mucoromycota","Glomeromycetes","Entrophosporales","Entrophosporaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Caenogastropoda;Caenogastropoda incertae sedis;Ptenoglossa;Triphoroidea;Newtoniellidae","Eukaryota","Metazoa","Mollusca","Gastropoda","na","Newtoniellidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Amphipoda;Senticaudata;Gammarida;Gammaridira;Gammaroidea;Bathyporeiidae","Eukaryota","Metazoa","Arthropoda","Malacostraca","Amphipoda","Bathyporeiidae"
"cellular organisms;Eukaryota;Provora;Nebulidia;Nebulidea;Nebulidida;Nebulidae","Eukaryota","na","Nebulidia","Nebulidea","Nebulidida","Nebulidae"
"cellular organisms;Eukaryota;Provora;Nibbleridia;Nibbleridea;Nibbleridida;Nibbleridae","Eukaryota","na","Nibbleridia","Nibbleridea","Nibbleridida","Nibbleridae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Spirodecosporaceae","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Xylariales","Spirodecosporaceae"
"cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Eustigmatophyceae;Goniochloridales;Goniochloridaceae","Eukaryota","na","na","Eustigmatophyceae","Goniochloridales","Goniochloridaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Microsporidia;Neopereziidae","Eukaryota","Fungi","Microsporidia","na","na","Neopereziidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Phalangida;Palpatores;Phalangioidea;Protolophidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Opiliones","Protolophidae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetidae;Mycosphaerellales;Phillipsiellaceae","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Phillipsiellaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Porifera;Calcarea;Calcinea;Clathrinida;Dendyidae","Eukaryota","Metazoa","Porifera","Calcarea","Clathrinida","Dendyidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Eucarida;Decapoda;Pleocyemata;Anomura;Paguroidea;Probeebeidae","Eukaryota","Metazoa","Arthropoda","Malacostraca","Decapoda","Probeebeidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Caenogastropoda;Neogastropoda;Buccinoidea;Cominellidae","Eukaryota","Metazoa","Mollusca","Gastropoda","Neogastropoda","Cominellidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Caenogastropoda;Neogastropoda;Buccinoidea;Prosiphonidae","Eukaryota","Metazoa","Mollusca","Gastropoda","Neogastropoda","Prosiphonidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Anystina;Parasitengona;Hydracarina;Lebertioidea;Rutripalpidae","Eukaryota","Metazoa","Arthropoda","Arachnida","Trombidiformes","Rutripalpidae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Gyrothricaceae","Eukaryota","Fungi","Ascomycota","Sordariomycetes","Xylariales","Gyrothricaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Microlaimida;Microlaimoidea;Molgolaimidae","Eukaryota","Metazoa","Nematoda","Chromadorea","Microlaimida","Molgolaimidae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Acanthocephala;Palaeacanthocephala;Echinorhynchida;Pseudoacanthocephalidae","Eukaryota","Metazoa","Acanthocephala","Palaeacanthocephala","Echinorhynchida","Pseudoacanthocephalidae"
"cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Lamiales;Wightiaceae","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Wightiaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Rhabditophora;Mariplanellida;Mariplanellidae","Eukaryota","Metazoa","Platyhelminthes","Rhabditophora","Mariplanellida","Mariplanellidae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Agaricostilbomycetes;Agaricostilbales;Crittendeniaceae","Eukaryota","Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Crittendeniaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pleurotineae;Phyllotopsidaceae","Eukaryota","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Phyllotopsidaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Polyporales;Phaeolaceae","Eukaryota","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phaeolaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Polyporales;Fibroporiaceae","Eukaryota","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fibroporiaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Polyporales;Laricifomitaceae","Eukaryota","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Laricifomitaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Polyporales;Taiwanofungaceae","Eukaryota","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Taiwanofungaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Polyporales;Adustoporiaceae","Eukaryota","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Adustoporiaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Polyporales;Postiaceae","Eukaryota","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Postiaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Polyporales;Piptoporellaceae","Eukaryota","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Piptoporellaceae"
"cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Polyporales;Auriporiaceae","Eukaryota","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Auriporiaceae"
"cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Hymenoptera;Apocrita;Proctotrupomorpha;Chalcidoidea;Eriaporidae","Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Eriaporidae"
"cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Litostomatea;Haptoria;Pleurostomatida;Paralitonotidae","Eukaryota","na","Ciliophora","Litostomatea","Pleurostomatida","Paralitonotidae"
