"","full_branch","superkingdom","kingdom","phylum","class","order","family"
"3988","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Asellota;Janiroidea;Janirellidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Malacostraca_6681","Isopoda_29979","Janirellidae_263189"
"3989","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Asellota;Janiroidea;Ischnomesidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Malacostraca_6681","Isopoda_29979","Ischnomesidae_263181"
"3990","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Asellota;Janiroidea;Haplomunnidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Malacostraca_6681","Isopoda_29979","Haplomunnidae_263178"
"3991","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Asellota;Janiroidea;Haploniscidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Malacostraca_6681","Isopoda_29979","Haploniscidae_263168"
"3992","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Asellota;Janiroidea;Dendrotionidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Malacostraca_6681","Isopoda_29979","Dendrotionidae_263165"
"3993","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Asellota;Janiroidea;Desmosomatidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Malacostraca_6681","Isopoda_29979","Desmosomatidae_263155"
"3994","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Asellota;Janiroidea;Acanthaspidiidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Malacostraca_6681","Isopoda_29979","Acanthaspidiidae_263148"
"3995","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Asellota;Stenetrioidea;Stenetriidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Malacostraca_6681","Isopoda_29979","Stenetriidae_263143"
"3996","cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pleurotineae;Pterulaceae","Eukaryota_2759","Fungi_4751","Basidiomycota_5204","Agaricomycetes_155619","Agaricales_5338","Pterulaceae_262632"
"3997","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;Euthyneura;Nudipleura;Nudibranchia;Doridina;Eudoridoidea;Actinocyclidae","Eukaryota_2759","Metazoa_33208","Mollusca_6447","Gastropoda_6448","Nudibranchia_70849","Actinocyclidae_262593"
"3998","cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorophyceae;Phaeophilales;Phaeophilaceae","Eukaryota_2759","Viridiplantae_33090","Chlorophyta_3041","Chlorophyceae_3166","Phaeophilales_262506","Phaeophilaceae_262507"
"3999","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Amphiesmenoptera;Lepidoptera;Glossata;Neolepidoptera;Heteroneura;Ditrysia;Gelechioidea;Elachistidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Insecta_50557","Lepidoptera_7088","Elachistidae_262431"
"4000","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Eleutherozoa;Echinozoa;Echinoidea;Euechinoidea;Gnathostomata;Clypeasteroida;Scutellidae","Eukaryota_2759","Metazoa_33208","Echinodermata_7586","Echinoidea_7625","Clypeasteroida_31186","Scutellidae_262332"
"4001","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Eleutherozoa;Echinozoa;Echinoidea;Euechinoidea;Gnathostomata;Clypeasteroida;Laganidae","Eukaryota_2759","Metazoa_33208","Echinodermata_7586","Echinoidea_7625","Clypeasteroida_31186","Laganidae_262329"
"4002","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Phasmatodea;Verophasmatodea;Areolatae;Aschiphasmatoidea;Aschiphasmatidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Insecta_50557","Phasmatodea_7020","Aschiphasmatidae_262154"
"4003","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Phasmatodea;Verophasmatodea;Areolatae;Bacilloidea;Heteropterygidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Insecta_50557","Phasmatodea_7020","Heteropterygidae_262140"
"4004","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Pycnogonida;Pantopoda;Pycnogonidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Pycnogonida_57294","Pantopoda_373319","Pycnogonidae_261973"
"4005","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Hexanauplia;Copepoda;Neocopepoda;Gymnoplea;Calanoida;Megacalanidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Hexanauplia_72037","Calanoida_6833","Megacalanidae_261853"
"4006","cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Peridiniales;Pyrophaceae","Eukaryota_2759","character(0)_character(0)","character(0)_character(0)","Dinophyceae_2864","Peridiniales_2910","Pyrophaceae_261840"
"4007","cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Peridiniales;Protoperidiniaceae","Eukaryota_2759","character(0)_character(0)","character(0)_character(0)","Dinophyceae_2864","Peridiniales_2910","Protoperidiniaceae_261838"
"4008","cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Hemidiniaceae","Eukaryota_2759","character(0)_character(0)","character(0)_character(0)","Dinophyceae_2864","Gymnodiniales_2953","Hemidiniaceae_261835"
"4009","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Axinellida;Raspailiidae","Eukaryota_2759","Metazoa_33208","Porifera_6040","Demospongiae_6042","Axinellida_1779152","Raspailiidae_261678"
"4010","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Dibamidae","Eukaryota_2759","Metazoa_33208","Chordata_7711","Lepidosauria_8504","Squamata_8509","Dibamidae_261508"
"4011","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Astigmata;Psoroptidia;Sarcoptoidea;Listrophoridae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Arachnida_6854","Sarcoptiformes_83137","Listrophoridae_261183"
"4012","cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Phyllopharyngea;Chonotrichia;Exogemmida;Isochonidae","Eukaryota_2759","character(0)_character(0)","Ciliophora_5878","Phyllopharyngea_37471","Exogemmida_235191","Isochonidae_261020"
"4013","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Tunicata;Ascidiacea;Aplousobranchia;Polycitoridae","Eukaryota_2759","Metazoa_33208","Chordata_7711","Ascidiacea_7713","Aplousobranchia_32436","Polycitoridae_260822"
"4014","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Oligostraca;Ichthyostraca;Pentastomida;Porocephalida;Armilliferidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Ichthyostraca_2172820","Porocephalida_7563","Armilliferidae_260802"
"4015","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Clupei;Clupeiformes;Clupeoidei;Pristigasteridae","Eukaryota_2759","Metazoa_33208","Chordata_7711","Actinopteri_186623","Clupeiformes_32446","Pristigasteridae_260504"
"4016","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Eucarida;Decapoda;Pleocyemata;Brachyura;Eubrachyura;Heterotremata;Dorippoidea;Orithyiidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Malacostraca_6681","Decapoda_6683","Orithyiidae_260257"
"4017","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Thecostraca;Cirripedia;Thoracica;Thoracicalcarea;Balanomorpha;Chthamaloidea;Catophragmidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Thecostraca_116172","Balanomorpha_2899670","Catophragmidae_259981"
"4018","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Chondrichthyes;Elasmobranchii;Selachii;Galeomorphii;Galeoidea;Orectolobiformes;Rhincodontidae","Eukaryota_2759","Metazoa_33208","Chordata_7711","Chondrichthyes_7777","Orectolobiformes_30503","Rhincodontidae_259919"
"4019","cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Glomeromycotina;Glomeromycetes;Diversisporales;Pacisporaceae","Eukaryota_2759","Fungi_4751","Mucoromycota_1913637","Glomeromycetes_214506","Diversisporales_214509","Pacisporaceae_259895"
"4020","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;Euthyneura;Panpulmonata;Acochlidiacea;Hedylopsidae","Eukaryota_2759","Metazoa_33208","Mollusca_6447","Gastropoda_6448","Acochlidiacea_259634","Hedylopsidae_259642"
"4021","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;Euthyneura;Panpulmonata;Acochlidiacea;Microhedylidae","Eukaryota_2759","Metazoa_33208","Mollusca_6447","Gastropoda_6448","Acochlidiacea_259634","Microhedylidae_259635"
"4022","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;Euthyneura;Tectipleura;Cephalaspidea;Philinoidea;Gastropteridae","Eukaryota_2759","Metazoa_33208","Mollusca_6447","Gastropoda_6448","Cephalaspidea_69554","Gastropteridae_259627"
"4023","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;Euthyneura;Tectipleura;Cephalaspidea;Philinoglossoidea;Philinoglossidae","Eukaryota_2759","Metazoa_33208","Mollusca_6447","Gastropoda_6448","Cephalaspidea_69554","Philinoglossidae_259622"
"4024","cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Onygenales;Arachnomycetaceae","Eukaryota_2759","Fungi_4751","Ascomycota_4890","Eurotiomycetes_147545","Onygenales_33183","Arachnomycetaceae_259363"
"4025","cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Lecanorales;Lecanorineae;Psoraceae","Eukaryota_2759","Fungi_4751","Ascomycota_4890","Lecanoromycetes_147547","Lecanorales_5197","Psoraceae_258890"
"4026","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Myriapoda;Diplopoda;Helminthomorpha;Chordeumatida;Diplomaragnidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Diplopoda_7553","Chordeumatida_118457","Diplomaragnidae_258333"
"4027","cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Polykrikaceae","Eukaryota_2759","character(0)_character(0)","character(0)_character(0)","Dinophyceae_2864","Gymnodiniales_2953","Polykrikaceae_258029"
"4028","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Prosorrhyncha;Heteroptera;Euheteroptera;Neoheteroptera;Panheteroptera;Pentatomomorpha;Lygaeoidea;Ninidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Insecta_50557","Hemiptera_7524","Ninidae_257900"
"4029","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Anystina;Parasitengona;Hydracarina;Lebertioidea;Torrenticolidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Arachnida_6854","Trombidiformes_83136","Torrenticolidae_257719"
"4030","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Anystina;Parasitengona;Hydracarina;Sperchontoidea;Sperchontidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Arachnida_6854","Trombidiformes_83136","Sperchontidae_257716"
"4031","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Anystina;Parasitengona;Hydracarina;Lebertioidea;Lebertiidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Arachnida_6854","Trombidiformes_83136","Lebertiidae_257712"
"4032","cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Anystina;Parasitengona;Hydracarina;Eylaoidea;Eylaidae","Eukaryota_2759","Metazoa_33208","Arthropoda_6656","Arachnida_6854","Trombidiformes_83136","Eylaidae_257709"
"4033","cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Areschougiaceae","Eukaryota_2759","character(0)_character(0)","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Areschougiaceae_257613"
"4034","cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Wurdemanniaceae","Eukaryota_2759","character(0)_character(0)","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Wurdemanniaceae_257601"
